province,country,latitude,longitude,confirmed,deaths,recovered,active,combined_key,incidence_rate,fatality_ratio
,Afghanistan,33.93911,67.709953,38919,1437,32576,4906.0,Afghanistan,99.98,3.69
,Albania,41.1533,20.1683,12226,358,6888,4980.0,Albania,424.84,2.93
,Algeria,28.0339,1.6596,49623,1665,34923,13035.0,Algeria,113.16,3.36
,Andorra,42.5063,1.5218,1564,53,1164,347.0,Andorra,2024.2,3.39
,Angola,-11.2027,17.8739,3901,147,1445,2309.0,Angola,11.87,3.77
,Antigua and Barbuda,17.0608,-61.7964,96,3,92,1.0,Antigua and Barbuda,98.03,3.12
,Argentina,-38.4161,-63.6167,622934,12799,478077,132058.0,Argentina,1378.3,2.05
,Armenia,40.0691,45.0382,47154,928,42551,3675.0,Armenia,1591.3,1.97
Australian Capital Territory,Australia,-35.4735,149.0124,113,3,110,0.0,"Australian Capital Territory, Australia",26.4,2.65
New South Wales,Australia,-33.8688,151.2093,4200,53,2994,1153.0,"New South Wales, Australia",51.74,1.26
Northern Territory,Australia,-12.4634,130.8456,33,0,31,2.0,"Northern Territory, Australia",13.44,0.0
Queensland,Australia,-27.4698,153.0251,1152,6,1123,23.0,"Queensland, Australia",22.52,0.52
South Australia,Australia,-34.9285,138.6007,466,4,462,0.0,"South Australia, Australia",26.53,0.86
Tasmania,Australia,-42.8821,147.3272,230,13,217,0.0,"Tasmania, Australia",42.95,5.65
Victoria,Australia,-37.8136,144.9631,20042,761,18379,902.0,"Victoria, Australia",302.3,3.8
Western Australia,Australia,-31.9505,115.8605,662,9,650,3.0,"Western Australia, Australia",25.17,1.36
,Austria,47.5162,14.5501,37474,765,28961,7748.0,Austria,416.08,2.04
,Azerbaijan,40.1431,47.5769,39042,574,36601,1867.0,Azerbaijan,385.06,1.47
,Bahamas,25.025885,-78.035889,3214,73,1679,1462.0,Bahamas,817.3,2.27
,Bahrain,26.0275,50.55,64499,221,57299,6979.0,Bahrain,3790.53,0.34
,Bangladesh,23.685,90.3563,347372,4913,254386,88073.0,Bangladesh,210.93,1.41
,Barbados,13.1939,-59.5432,185,7,172,6.0,Barbados,64.38,3.78
,Belarus,53.7098,27.9534,75461,776,73212,1473.0,Belarus,798.59,1.03
,Belgium,50.8333,4.469936,100748,9944,18945,71859.0,Belgium,869.3,9.87
,Belize,17.1899,-88.4976,1606,20,876,710.0,Belize,403.9,1.25
,Benin,9.3077,2.3158,2280,40,1950,290.0,Benin,18.81,1.75
,Bhutan,27.5142,90.4336,259,0,190,69.0,Bhutan,33.57,0.0
,Bolivia,-16.2902,-63.5887,130470,7586,89032,33852.0,Bolivia,1117.7,5.81
,Bosnia and Herzegovina,43.9159,17.6791,25217,758,17489,6970.0,Bosnia and Herzegovina,768.62,3.01
,Botswana,-22.3285,24.6849,2567,13,624,1930.0,Botswana,109.16,0.51
Acre,Brazil,-9.0238,-70.812,27061,648,24298,2115.0,"Acre, Brazil",3068.37,2.39
Alagoas,Brazil,-9.5713,-36.782,83950,2014,80658,1278.0,"Alagoas, Brazil",2515.46,2.4
Amapa,Brazil,0.902,-52.003,46738,691,35026,11021.0,"Amapa, Brazil",5526.34,1.48
Amazonas,Brazil,-3.4168,-65.8561,131573,3956,109874,17743.0,"Amazonas, Brazil",3174.57,3.01
Bahia,Brazil,-12.5797,-41.7007,294210,6221,280351,7638.0,"Bahia, Brazil",1978.14,2.11
Ceara,Brazil,-5.4984,-39.3206,233600,8801,206727,18072.0,"Ceara, Brazil",2558.02,3.77
Distrito Federal,Brazil,-15.7998,-47.8645,183096,3048,170627,9421.0,"Distrito Federal, Brazil",6072.3,1.66
Espirito Santo,Brazil,-19.1834,-40.3089,123720,3408,113545,6767.0,"Espirito Santo, Brazil",3078.65,2.75
Goias,Brazil,-15.827,-49.8362,182856,4135,172741,5980.0,"Goias, Brazil",2605.4,2.26
Maranhao,Brazil,-4.9609,-45.2744,167333,3643,157810,5880.0,"Maranhao, Brazil",2365.07,2.18
Mato Grosso,Brazil,-12.6819,-56.9211,112242,3214,92468,16560.0,"Mato Grosso, Brazil",3221.21,2.86
Mato Grosso do Sul,Brazil,-20.7722,-54.7852,63466,1162,56313,5991.0,"Mato Grosso do Sul, Brazil",2283.78,1.83
